name	url	sku	priority
Автотовары. Запчасти. Двигатель. Основные части двигателя	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/osnovnye-chasti-dvigatelya	0	3
Автотовары. Запчасти. Двигатель. Прокладки и сальники	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/prokladki-i-salniki	0	3
Автотовары. Запчасти. Двигатель. Ремни приводные	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/remni-privodnye	0	1
Автотовары. Запчасти. Двигатель. Ролики автомобильные	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/roliki-avtomobilnye	0	2
Автотовары. Запчасти. Двигатель. Система смазки	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/dvigatel/sistema-smazki	0	1
Автотовары. Запчасти. Детали салона	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/detali-salona	0	1
Автотовары. Запчасти. Кузов	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/kuzov	0	2
Автотовары. Запчасти. Отопление и кондиционирование	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/otoplenie-i-konditsionirovanie	0	2
Автотовары. Запчасти. Ремкомплекты автомобильные	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/remkomplekty-avtomobilnye	0	1
Автотовары. Запчасти. Рулевое управление	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/rulevoe-upravlenie	0	2
Автотовары. Запчасти. Система выпуска	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/sistema-vypuska	0	2
Автотовары. Запчасти. Система охлаждения	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/sistema-ohlazhdeniya	0	3
Автотовары. Запчасти. Стеклоочистители. Комплектующие стеклоочистителя	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/stekloochistiteli/komplektuyushchie-stekloochistitelya	0	3
Автотовары. Запчасти. Стеклоочистители. Щетки стеклоочистителя	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/stekloochistiteli/shchetki-stekloochistitelya	0	1
Автотовары. Запчасти. Топливная система	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/toplivnaya-sistema	0	1
Автотовары. Запчасти. Тормозная система. Другие комплектующие	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/drugie-komplektuyushchie	0	3
Автотовары. Запчасти. Тормозная система. Комплекты тормозов	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/komplekty-tormozov	0	3
Автотовары. Запчасти. Тормозная система. Рычаги	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/rychagi	0	2
Автотовары. Запчасти. Тормозная система. Стояночные тормоза	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/stoyanochnye-tormoza	0	3
Автотовары. Запчасти. Тормозная система. Суппорты	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/supporty	0	2
Автотовары. Запчасти. Тормозная система. Тормозные барабаны	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/tormoznye-barabany	0	1
Автотовары. Запчасти. Тормозная система. Тормозные диски	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/tormoznye-diski	0	4
Автотовары. Запчасти. Тормозная система. Тормозные колодки	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/tormoznye-kolodki	0	2
Автотовары. Запчасти. Тормозная система. Тормозные шланги	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/tormoznye-shlangi	0	3
Автотовары. Запчасти. Тормозная система. Тросовые приводы	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/trosovye-privody	0	4
Автотовары. Запчасти. Тормозная система. Трубопроводы	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/truboprovody	0	2
Автотовары. Запчасти. Тормозная система. Тяги	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/tyagi	0	2
Автотовары. Запчасти. Тормозная система. Усилители тормоза	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/usiliteli-tormoza	0	3
Автотовары. Запчасти. Тормозная система. Фильтры	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/tormoznaya-sistema/filtry	0	1
Автотовары. Запчасти. Трансмиссия	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/transmissiya	0	2
Автотовары. Запчасти. Ходовая часть. Амортизаторы и комплектующие	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/hodovaya-chast/amortizatory-i-komplektuyushchie	0	1
Автотовары. Запчасти. Ходовая часть. Прочие компоненты подвески	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/hodovaya-chast/prochie-komponenty-podveski	0	2
Автотовары. Запчасти. Ходовая часть. Рычаги подвески	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/hodovaya-chast/rychagi-podveski	0	2
Автотовары. Запчасти. Ходовая часть. Стабилизаторы и комплектующие	https://www.wildberries.ru/catalog/avtotovary/zapchasti-na-legkovye-avtomobili/hodovaya-chast/stabilizatory-i-komplektuyushchie	0	3
